time,pv_production,wind_production,consumption,spot_market_price
1/1/2020 13:00,0,40.59,26.51468889,0.28969
1/1/2020 14:00,0,67.86,28.32696,0.29561
1/1/2020 15:00,0,116.68,23.68220667,0.30044
1/1/2020 16:00,0,120.22,25.35478222,0.29975
1/1/2020 17:00,0,109.86,23.86194222,0.2965
1/1/2020 18:00,0,71.79,36.87287778,0.28979
1/1/2020 19:00,0,55.29,56.87612,0.27273
1/1/2020 20:00,0,14.8,23.77333556,0.26957
1/1/2020 21:00,0,5.78,20.89379333,0.25527
1/1/2020 22:00,0,9.8,19.51656889,0.24471
1/1/2020 23:00,0,4.58,19.83178222,0.11856
1/2/2020 0:00,0,21.06,13.06596,0.12897
1/2/2020 1:00,0,13.21,13.91483,0.18732
1/2/2020 2:00,0,12.45,14.09472444,0.20746
1/2/2020 3:00,0,9.24,14.12158111,0.2386
1/2/2020 4:00,0,4.82,13.45286222,0.25804
1/2/2020 5:00,0,16.07,12.23060667,0.27248
1/2/2020 6:00,0,3.28,13.14819,0.27887
1/2/2020 7:00,0,13,22.48820444,0.2885
1/2/2020 8:00,0,28.21,18.85918889,0.29419
1/2/2020 9:00,0,17.66,20.74766667,0.2938
1/2/2020 10:00,0,4.1,20.33082222,0.29429
1/2/2020 11:00,0,0.1,14.92799,0.29409
1/2/2020 12:00,0,-0.27,20.86298,0.29409
1/2/2020 13:00,0,-0.28,17.38338111,0.29645
1/2/2020 14:00,0,-0.28,22.34846667,0.30411
1/2/2020 15:00,0,4.91,22.97504444,0.30647
1/2/2020 16:00,0,-0.31,18.67262889,0.30431
1/2/2020 17:00,0,-0.36,14.09666,0.29812
1/2/2020 18:00,0,-0.32,21.34411556,0.28751
1/2/2020 19:00,0,17.44,50.75179111,0.27671
1/2/2020 20:00,0,50.38,24.26989556,0.27523
1/2/2020 21:00,0,5.4,18.65073778,0.27199
1/2/2020 22:00,0,-0.26,18.94588889,0.23958
1/2/2020 23:00,0,3.97,17.45741444,0.18651
1/3/2020 0:00,0,35.66,15.36674222,0.09833
1/3/2020 1:00,0,4.54,16.19501111,0.01507
1/3/2020 2:00,0,17.05,17.33339111,0.01025
1/3/2020 3:00,0,41.2,16.20722667,0.01044
1/3/2020 4:00,0,67.76,14.95034222,0.09774
1/3/2020 5:00,0,112.75,16.15511889,0.24119
1/3/2020 6:00,0,112.76,18.00457667,0.26286
1/3/2020 7:00,0,63,22.00952,0.27705
1/3/2020 8:00,0,83.15,19.90231556,0.28158
1/3/2020 9:00,0,52.25,25.00656222,0.27744
1/3/2020 10:00,0,43.22,26.19718222,0.28355
1/3/2020 11:00,0,80.66,22.54926444,0.27892
1/3/2020 12:00,0,90.88,22.55734222,0.2802
1/3/2020 13:00,0,60.08,25.6522,0.28533
1/3/2020 14:00,0,47.09,26.00156,0.29419
1/3/2020 15:00,0,61.97,24.70379778,0.29705
1/3/2020 16:00,0,58.27,18.36871556,0.29626
1/3/2020 17:00,0,43.59,13.66948889,0.29104
1/3/2020 18:00,0,114.32,47.11497778,0.2868
1/3/2020 19:00,0,134.41,25.63110667,0.27498
1/3/2020 20:00,0,125.1,23.43241778,0.26631
1/3/2020 21:00,0,98.93,22.74549333,0.25321
1/3/2020 22:00,0,142.58,23.60074667,0.21715
1/3/2020 23:00,0,129.37,27.40675556,0.21388
1/4/2020 0:00,0,135.54,21.82396222,0.20118
1/4/2020 1:00,0,124.18,24.11947111,0.19843
1/4/2020 2:00,0,0,20.45657111,0.19311
1/4/2020 3:00,0,0,21.67259778,0.18731
1/4/2020 4:00,0,0,18.31084778,0.18603
1/4/2020 5:00,0,0,19.47628667,0.19429
1/4/2020 6:00,0,0,15.90805556,0.21211
1/4/2020 7:00,0,-0.54,21.16421111,0.21989
1/4/2020 8:00,0,-0.35,28.25478444,0.238
1/4/2020 9:00,0,-0.31,30.17058444,0.24548
1/4/2020 10:00,0,-0.32,18.36061556,0.24715
1/4/2020 11:00,0,-0.33,16.50783556,0.24548
1/4/2020 12:00,0,-0.36,15.67866333,0.24558
1/4/2020 13:00,0,-0.37,23.51714667,0.24853
1/4/2020 14:00,0,-0.32,23.68756444,0.25916
1/4/2020 15:00,0,-0.33,28.88090222,0.2693
1/4/2020 16:00,0,-0.32,24.31304889,0.28426
1/4/2020 17:00,0,-0.31,56.17278222,0.29115
1/4/2020 18:00,0,-0.35,38.29769778,0.28957
1/4/2020 19:00,0,-0.32,25.83028444,0.27274
1/4/2020 20:00,0,-0.37,17.34822222,0.26969
1/4/2020 21:00,0,-0.38,20.27384667,0.26939
1/4/2020 22:00,0,-0.36,22.76797778,0.25365
1/4/2020 23:00,0,-0.39,21.41662,0.26288
1/5/2020 0:00,0,-0.34,18.51679889,0.26761
1/5/2020 1:00,0,-0.34,22.27895556,0.26741
1/5/2020 2:00,0,-0.34,21.1146,0.27047
1/5/2020 3:00,0,-0.35,20.59166667,0.27678
1/5/2020 4:00,0,-0.34,18.04007667,0.28458
1/5/2020 5:00,0,-0.34,16.39392222,0.28862
1/5/2020 6:00,0,-0.35,23.85093556,0.29572
1/5/2020 7:00,0,-0.33,26.4924,0.30638
1/5/2020 8:00,0,-0.32,22.53776,0.30756
1/5/2020 9:00,0,-0.37,21.67478222,0.3117
1/5/2020 10:00,0,-0.34,20.85114444,0.31121
1/5/2020 11:00,0,-0.34,16.97226333,0.30795
1/5/2020 12:00,0,-0.33,18.84594,0.30509
1/5/2020 13:00,0,-0.34,37.70091556,0.30253
1/5/2020 14:00,0,-0.31,37.41676,0.30371
1/5/2020 15:00,0,-0.28,19.50105111,0.30736
1/5/2020 16:00,0,-0.25,22.45017778,0.31101
1/5/2020 17:00,0,-0.26,19.27287778,0.30677
1/5/2020 18:00,0,-0.25,23.47798222,0.30006
1/5/2020 19:00,0,-0.27,42.10628889,0.29464
1/5/2020 20:00,0,-0.27,21.83612667,0.28842
1/5/2020 21:00,0,-0.27,17.71326111,0.27777
1/5/2020 22:00,0,-0.28,19.84260444,0.26317
1/5/2020 23:00,0,-0.26,17.30579111,0.26061
1/6/2020 0:00,0,-0.25,14.6898,0.2614
1/6/2020 1:00,0,-0.25,16.46444,0.26643
1/6/2020 2:00,0,-0.25,16.47433222,0.26692
1/6/2020 3:00,0,-0.26,18.84963556,0.26662
1/6/2020 4:00,0,-0.26,16.71443444,0.27244
1/6/2020 5:00,0,-0.25,13.86002333,0.27777
1/6/2020 6:00,0,-0.24,13.38950222,0.28685
1/6/2020 7:00,0,-0.29,20.62892,0.29326
1/6/2020 8:00,0,-0.26,18.24514667,0.30105
1/6/2020 9:00,0,-0.24,21.41868,0.30697
1/6/2020 10:00,0,-0.24,17.86776111,0.30805
1/6/2020 11:00,0,-0.25,14.83766111,0.30766
1/6/2020 12:00,0,-0.28,16.15303556,0.30657
1/6/2020 13:00,0,-0.17,18.24635667,0.30786
1/6/2020 14:00,0,-0.24,17.00623,0.30874
1/6/2020 15:00,0,-0.26,23.90998444,0.31328
1/6/2020 16:00,0,-0.27,16.67433222,0.31308
1/6/2020 17:00,0,0.77,14.98817556,0.30884
1/6/2020 18:00,0,-0.3,27.86361556,0.30529
1/6/2020 19:00,0,3.35,52.26704889,0.30164
1/6/2020 20:00,0,16.89,23.32602,0.29868
1/6/2020 21:00,0,5.19,22.83580889,0.29059
1/6/2020 22:00,0,1.74,18.75030444,0.27807
1/6/2020 23:00,0,12.4,14.36609667,0.26758
1/7/2020 0:00,0,8.76,11.99420444,0.26679
1/7/2020 1:00,0,-0.25,17.52925444,0.2662
1/7/2020 2:00,0,-0.2,14.90681556,0.2658
1/7/2020 3:00,0,0.1,17.29455667,0.26777
1/7/2020 4:00,0,9.33,17.35140667,0.27713
1/7/2020 5:00,0,19.6,12.41668556,0.27792
1/7/2020 6:00,0,17.04,14.26803222,0.29112
1/7/2020 7:00,0,22.47,21.13824222,0.29339
1/7/2020 8:00,0,17.84,19.34087778,0.29388
1/7/2020 9:00,0,10.84,22.20146,0.29477
1/7/2020 10:00,0,7.5,18.76442444,0.29516
1/7/2020 11:00,0,1.51,16.25749556,0.29703
1/7/2020 12:00,0,21,12.56768222,0.2991
1/7/2020 13:00,0,80.55,17.92244111,0.29881
1/7/2020 14:00,0,72.85,18.67131556,0.29526
1/7/2020 15:00,0,89.83,17.34723333,0.29457
1/7/2020 16:00,0,94.13,17.63575222,0.29309
1/7/2020 17:00,0,111.86,22.00347556,0.29359
1/7/2020 18:00,0,116.92,19.79029333,0.29024
1/7/2020 19:00,0,129.93,48.59964,0.28206
1/7/2020 20:00,0,133.53,36.74792222,0.27566
1/7/2020 21:00,0,109.75,24.24691556,0.26531
1/7/2020 22:00,0,72.21,23.81320667,0.23851
1/7/2020 23:00,0,73.24,26.76374667,0.18988
1/8/2020 0:00,0,78.33,21.22371556,0.18338
1/8/2020 1:00,0,22.78,16.32415667,0.16655
1/8/2020 2:00,0,2.24,15.67894,0.15277
1/8/2020 3:00,0,15.86,18.50041556,0.15277
1/8/2020 4:00,0,18.15,16.68368444,0.20415
1/8/2020 5:00,0,26.3,16.30778889,0.2517
1/8/2020 6:00,0,61.39,20.55730222,0.26567
1/8/2020 7:00,0,54.69,25.30034889,0.26912
